,ID,SRM,Name,DateIssued,Measureand,InChI,CertRef,Value,Uncertainty,95low,95high,u,UnitNumerator,UnitDenominator,Mass/Volume,WetDry,Uncertainty.1,k
556,,SRM 1941b,Organics in Marine Sediment,2015-01-16,Fluorene,"1S/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2",Cert,85.0,15.0,70.0,100.0,7.5,ug,kg,M,,15.0,2.0
557,,SRM 1941b,Organics in Marine Sediment,2015-01-16,Hexachlorobenzene,1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9,Cert,5.83,0.38,5.45,6.21,0.19,ug,kg,M,,0.38,2.0
558,,SRM 1941b,Organics in Marine Sediment,2015-01-16,"Indeno[1,2,3-cd]fluoranthene",,Ref,9.63,0.34,9.290000000000001,9.97,0.132295719844358,ug,kg,M,,0.34,2.57
559,,SRM 1941b,Organics in Marine Sediment,2015-01-16,"Indeno[1,2,3-cd]pyrene",,Cert,341.0,57.0,284.0,398.0,27.272727272727273,ug,kg,M,,57.0,2.09
560,,SRM 1941b,Organics in Marine Sediment,2015-01-16,Naphthalene,1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,Cert,848.0,95.0,753.0,943.0,47.5,ug,kg,M,,95.0,2.0
561,,SRM 1941b,Organics in Marine Sediment,2015-01-16,"Naphtho[1,2-a]pyrene",,Ref,16.7,1.4,15.299999999999999,18.099999999999998,0.7,ug,kg,M,,1.4,2.0
562,,SRM 1941b,Organics in Marine Sediment,2015-01-16,"Naphtho[1,2-b]fluoranthene",,Ref,91.0,3.1,87.9,94.1,1.55,ug,kg,M,,3.1,2.0
563,,SRM 1941b,Organics in Marine Sediment,2015-01-16,"Naphtho[1,2-k]fluoranthene+Naphtho[2,3-j]fluoranthene",,Ref,79.8,2.5,77.3,82.3,1.25,ug,kg,M,,2.5,2.0
564,,SRM 1941b,Organics in Marine Sediment,2015-01-16,"Naphtho[2,1-a]pyrene",,Ref,59.2,1.8,57.400000000000006,61.0,0.9,ug,kg,M,,1.8,2.0
565,,SRM 1941b,Organics in Marine Sediment,2015-01-16,"Naphtho[2,3-a]pyrene",,Ref,16.5,0.6,15.9,17.1,0.3,ug,kg,M,,0.6,2.0
566,,SRM 1941b,Organics in Marine Sediment,2015-01-16,"Naphtho[2,3-b]fluoranthene",,Ref,23.5,0.3,23.2,23.8,0.15,ug,kg,M,,0.3,2.0
567,,SRM 1941b,Organics in Marine Sediment,2015-01-16,"Naphtho[2,3-e]pyrene",,Ref,33.2,2.3,30.900000000000002,35.5,1.15,ug,kg,M,,2.3,2.0
568,,SRM 1941b,Organics in Marine Sediment,2015-01-16,"Naphtho[2,3-k]fluoranthene",,Ref,10.7,0.6,10.1,11.299999999999999,0.3,ug,kg,M,,0.6,2.0
569,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 101,1S/C12H5Cl5/c13-6-1-2-9(14)7(3-6)8-4-11(16)12(17)5-10(8)15/h1-5H,Cert,5.11,0.34,4.7700000000000005,5.45,0.17,ug,kg,M,,0.34,2.0
570,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 105,1S/C12H5Cl5/c13-8-3-1-6(5-10(8)15)7-2-4-9(14)12(17)11(7)16/h1-5H,Cert,1.43,0.1,1.3299999999999998,1.53,0.05,ug,kg,M,,0.1,2.0
571,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 107,1S/C12H5Cl5/c13-7-4-8(12(17)11(16)5-7)6-1-2-9(14)10(15)3-6/h1-5H,Ref,0.628,0.028,0.6,0.656,0.014,ug,kg,M,,0.028,2.0
572,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 110,1S/C12H5Cl5/c13-7-2-1-6(5-10(7)16)11-8(14)3-4-9(15)12(11)17/h1-5H,Cert,4.62,0.36,4.26,4.98,0.18,ug,kg,M,,0.36,2.0
573,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 118,1S/C12H5Cl5/c13-8-2-1-6(3-10(8)15)7-4-11(16)12(17)5-9(7)14/h1-5H,Cert,4.23,0.19,4.04,4.420000000000001,0.095,ug,kg,M,,0.19,2.0
574,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 128,1S/C12H4Cl6/c13-7-3-1-5(9(15)11(7)17)6-2-4-8(14)12(18)10(6)16/h1-4H,Cert,0.696,0.044,0.6519999999999999,0.74,0.022,ug,kg,M,,0.044,2.0
575,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 132,1S/C12H4Cl6/c13-6-3-4-7(14)11(17)9(6)5-1-2-8(15)12(18)10(5)16/h1-4H,Ref,1.28,0.27,1.01,1.55,0.135,ug,kg,M,,0.27,2.0
576,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 138,1S/C12H4Cl6/c13-7-2-1-5(11(17)12(7)18)6-3-9(15)10(16)4-8(6)14/h1-4H,Cert,3.6,0.28,3.3200000000000003,3.88,0.14,ug,kg,M,,0.28,2.0
577,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 146,1S/C12H4Cl6/c13-5-1-7(12(18)11(17)2-5)6-3-9(15)10(16)4-8(6)14/h1-4H,Ref,1.22,0.12,1.1,1.3399999999999999,0.06,ug,kg,M,,0.12,2.0
578,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 149,1S/C12H4Cl6/c13-6-1-2-7(14)12(18)11(6)5-3-9(16)10(17)4-8(5)15/h1-4H,Cert,4.35,0.26,4.09,4.609999999999999,0.13,ug,kg,M,,0.26,2.0
579,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 153,1S/C12H4Cl6/c13-7-3-11(17)9(15)1-5(7)6-2-10(16)12(18)4-8(6)14/h1-4H,Cert,5.47,0.32,5.1499999999999995,5.79,0.16,ug,kg,M,,0.32,2.0
580,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 156,1S/C12H4Cl6/c13-7-2-1-5(3-8(7)14)6-4-9(15)11(17)12(18)10(6)16/h1-4H,Cert,0.507,0.09,0.41700000000000004,0.597,0.045,ug,kg,M,,0.09,2.0
581,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 158,1S/C12H4Cl6/c13-6-2-1-5(3-7(6)14)10-8(15)4-9(16)11(17)12(10)18/h1-4H,Ref,0.65,0.15,0.5,0.8,0.075,ug,kg,M,,0.15,2.0
582,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 163,1S/C12H4Cl6/c13-6-2-1-5(3-7(6)14)10-11(17)8(15)4-9(16)12(10)18/h1-4H,Ref,1.28,0.06,1.22,1.34,0.03,ug,kg,M,,0.06,2.0
583,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 170,1S/C12H3Cl7/c13-6-2-1-4(8(15)10(6)17)5-3-7(14)11(18)12(19)9(5)16/h1-3H,Cert,1.35,0.09,1.26,1.4400000000000002,0.045,ug,kg,M,,0.09,2.0
584,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 174,1S/C12H3Cl7/c13-5-1-2-6(14)10(17)8(5)4-3-7(15)11(18)12(19)9(4)16/h1-3H,Ref,1.51,0.39,1.12,1.9,0.195,ug,kg,M,,0.39,2.0
585,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 18,1S/C12H7Cl3/c13-8-5-6-12(15)10(7-8)9-3-1-2-4-11(9)14/h1-7H,Cert,2.39,0.29,2.1,2.68,0.145,ug,kg,M,,0.29,2.0
586,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 180,1S/C12H3Cl7/c13-6-3-8(15)7(14)1-4(6)5-2-9(16)11(18)12(19)10(5)17/h1-3H,Cert,3.24,0.51,2.7300000000000004,3.75,0.255,ug,kg,M,,0.51,2.0
587,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 183,1S/C12H3Cl7/c13-5-2-7(15)6(14)1-4(5)10-8(16)3-9(17)11(18)12(10)19/h1-3H,Cert,0.979,0.087,0.892,1.066,0.0435,ug,kg,M,,0.087,2.0
588,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 187,1S/C12H3Cl7/c13-5-2-7(15)6(14)1-4(5)10-11(18)8(16)3-9(17)12(10)19/h1-3H,Cert,2.17,0.22,1.95,2.39,0.11,ug,kg,M,,0.22,2.0
589,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 193,1S/C12H3Cl7/c13-5-1-4(2-6(14)10(5)17)9-11(18)7(15)3-8(16)12(9)19/h1-3H,Ref,0.292,0.075,0.21699999999999997,0.367,0.0375,ug,kg,M,,0.075,2.0
590,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 194,1S/C12H2Cl8/c13-5-1-3(7(15)11(19)9(5)17)4-2-6(14)10(18)12(20)8(4)16/h1-2H,Cert,1.04,0.06,0.98,1.1,0.03,ug,kg,M,,0.06,2.0
591,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 195,1S/C12H2Cl8/c13-4-2-1-3(6(14)7(4)15)5-8(16)10(18)12(20)11(19)9(5)17/h1-2H,Cert,0.645,0.06,0.585,0.7050000000000001,0.03,ug,kg,M,,0.06,2.0
592,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 201,1S/C12H2Cl8/c13-3-1-6(16)11(19)12(20)7(3)8-9(17)4(14)2-5(15)10(8)18/h1-2H,Cert,0.777,0.034,0.743,0.811,0.017,ug,kg,M,,0.034,2.0
593,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 206,1S/C12HCl9/c13-3-1-2(5(14)9(18)6(3)15)4-7(16)10(19)12(21)11(20)8(4)17/h1H,Cert,2.42,0.19,2.23,2.61,0.095,ug,kg,M,,0.19,2.0
594,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 209,1S/C12Cl10/c13-3-1(4(14)8(18)11(21)7(3)17)2-5(15)9(19)12(22)10(20)6(2)16,Cert,4.86,0.45,4.41,5.3100000000000005,0.225,ug,kg,M,,0.45,2.0
595,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 28,1S/C12H7Cl3/c13-9-3-1-8(2-4-9)11-6-5-10(14)7-12(11)15/h1-7H,Cert,4.52,0.57,3.9499999999999997,5.09,0.285,ug,kg,M,,0.57,2.0
596,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 31,1S/C12H7Cl3/c13-9-3-1-8(2-4-9)11-7-10(14)5-6-12(11)15/h1-7H,Cert,3.18,0.41,2.77,3.5900000000000003,0.205,ug,kg,M,,0.41,2.0
597,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 44,1S/C12H6Cl4/c13-7-4-5-10(14)9(6-7)8-2-1-3-11(15)12(8)16/h1-6H,Cert,3.85,0.2,3.65,4.05,0.1,ug,kg,M,,0.2,2.0
598,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 45,1S/C12H6Cl4/c13-8-4-2-1-3-7(8)11-9(14)5-6-10(15)12(11)16/h1-6H,Ref,0.73,0.12,0.61,0.85,0.06,ug,kg,M,,0.12,2.0
599,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 49,1S/C12H6Cl4/c13-7-2-4-11(15)10(5-7)9-3-1-8(14)6-12(9)16/h1-6H,Cert,4.34,0.28,4.06,4.62,0.14,ug,kg,M,,0.28,2.0
600,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 52,1S/C12H6Cl4/c13-7-1-3-11(15)9(5-7)10-6-8(14)2-4-12(10)16/h1-6H,Cert,5.24,0.28,4.96,5.5200000000000005,0.14,ug,kg,M,,0.28,2.0
601,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 56,1S/C12H6Cl4/c13-9-5-4-7(6-11(9)15)8-2-1-3-10(14)12(8)16/h1-6H,Ref,1.21,0.11,1.0999999999999999,1.32,0.055,ug,kg,M,,0.11,2.0
602,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 63,1S/C12H6Cl4/c13-8-3-1-7(2-4-8)10-5-9(14)6-11(15)12(10)16/h1-6H,Ref,0.213,0.04,0.173,0.253,0.02,ug,kg,M,,0.04,2.0
603,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 66,1S/C12H6Cl4/c13-8-2-3-9(11(15)6-8)7-1-4-10(14)12(16)5-7/h1-6H,Cert,4.96,0.53,4.43,5.49,0.265,ug,kg,M,,0.53,2.0
604,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 70,1S/C12H6Cl4/c13-8-2-4-10(14)9(6-8)7-1-3-11(15)12(16)5-7/h1-6H,Ref,4.99,0.29,4.7,5.28,0.145,ug,kg,M,,0.29,2.0
605,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 74,1S/C12H6Cl4/c13-8-3-1-7(2-4-8)9-5-11(15)12(16)6-10(9)14/h1-6H,Ref,2.04,0.15,1.8900000000000001,2.19,0.075,ug,kg,M,,0.15,2.0
606,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 77,1S/C12H6Cl4/c13-9-3-1-7(5-11(9)15)8-2-4-10(14)12(16)6-8/h1-6H,Ref,0.31,0.03,0.28,0.33999999999999997,0.015,ug,kg,M,,0.03,2.0
607,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 8,1S/C12H8Cl2/c13-10-7-5-9(6-8-10)11-3-1-2-4-12(11)14/h1-8H,Cert,1.65,0.19,1.46,1.8399999999999999,0.095,ug,kg,M,,0.19,2.0
608,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 87,1S/C12H5Cl5/c13-6-1-3-9(14)8(5-6)7-2-4-10(15)12(17)11(7)16/h1-5H,Cert,1.14,0.16,0.9799999999999999,1.2999999999999998,0.08,ug,kg,M,,0.16,2.0
609,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 95,1S/C12H5Cl5/c13-6-1-2-8(14)7(5-6)11-9(15)3-4-10(16)12(11)17/h1-5H,Cert,3.93,0.62,3.31,4.55,0.31,ug,kg,M,,0.62,2.0
610,,SRM 1941b,Organics in Marine Sediment,2015-01-16,PCB 99,1S/C12H5Cl5/c13-6-1-2-7(9(14)3-6)8-4-11(16)12(17)5-10(8)15/h1-5H,Cert,2.9,0.36,2.54,3.26,0.18,ug,kg,M,,0.36,2.0
611,,SRM 1941b,Organics in Marine Sediment,2015-01-16,Pentaphene,1S/C22H14/c1-3-7-17-13-21-19(11-15(17)5-1)9-10-20-12-16-6-2-4-8-18(16)14-22(20)21/h1-14H,Ref,25.3,1.0,24.3,26.3,0.5,ug,kg,M,,1.0,2.0
612,,SRM 1941b,Organics in Marine Sediment,2015-01-16,Perylene,1S/C20H12/c1-5-13-6-2-11-17-18-12-4-8-14-7-3-10-16(20(14)18)15(9-1)19(13)17/h1-12H,Cert,397.0,45.0,352.0,442.0,22.5,ug,kg,M,,45.0,2.0
613,,SRM 1941b,Organics in Marine Sediment,2015-01-16,Phenanthrene,1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H,Cert,406.0,44.0,362.0,450.0,22.0,ug,kg,M,,44.0,2.0
614,,SRM 1941b,Organics in Marine Sediment,2015-01-16,Picene,1S/C22H14/c1-3-7-17-15(5-1)9-11-21-19(17)13-14-20-18-8-4-2-6-16(18)10-12-22(20)21/h1-14H,Cert,46.6,4.7,41.9,51.300000000000004,2.35,ug,kg,M,,4.7,2.0
615,,SRM 1941b,Organics in Marine Sediment,2015-01-16,Pyrene,1S/C16H10/c1-3-11-7-9-13-5-2-6-14-10-8-12(4-1)15(11)16(13)14/h1-10H,Cert,581.0,39.0,542.0,620.0,19.5,ug,kg,M,,39.0,2.0
616,,SRM 1941b,Organics in Marine Sediment,2015-01-16,Total Organic Carbon (TOC),,Ref,2.99,0.24,2.75,3.2300000000000004,0.05581395348837209,%,,,,0.24,4.3
617,,SRM 1941b,Organics in Marine Sediment,2015-01-16,trans-Chlordane,"1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2",Cert,0.566,0.093,0.473,0.6589999999999999,0.0465,ug,kg,M,,0.093,2.0
618,,SRM 1941b,Organics in Marine Sediment,2015-01-16,trans-Nonachlor,"1S/C10H5Cl9/c11-3-1-2(4(12)5(3)13)9(17)7(15)6(14)8(1,16)10(9,18)19/h1-5H",Cert,0.438,0.073,0.365,0.511,0.0365,ug,kg,M,,0.073,2.0
619,,SRM 1941b,Organics in Marine Sediment,2015-01-16,Triphenylene,1S/C18H12/c1-2-8-14-13(7-1)15-9-3-4-11-17(15)18-12-6-5-10-16(14)18/h1-12H,Cert,108.0,5.0,103.0,113.0,2.5,ug,kg,M,,5.0,2.0
620,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",1S/C12HCl7O/c13-3-1-2-4-6(15)7(16)8(17)10(19)12(4)20-11(2)9(18)5(3)14/h1H,Ref,1.0,0.1,0.9,1.1,0.05,ug,kg,M,dry,0.1,2.0
621,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",1S/C12HCl7O2/c13-2-1-3-10(7(17)4(2)14)21-12-9(19)6(16)5(15)8(18)11(12)20-3/h1H,Ref,0.8,0.07,0.73,0.8700000000000001,0.035,ug,kg,M,dry,0.07,2.0
622,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",1S/C12HCl7O/c13-2-1-3-4(7(15)6(2)14)5-8(16)9(17)10(18)11(19)12(5)20-3/h1H,Ref,0.04,0.006,0.034,0.046,0.003,ug,kg,M,dry,0.006,2.0
623,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2,3,4,7,8-Hexachlorodibenzofuran",1S/C12H2Cl6O/c13-4-1-3-6(2-5(4)14)19-12-7(3)8(15)9(16)10(17)11(12)18/h1-2H,Ref,0.22,0.03,0.19,0.25,0.015,ug,kg,M,dry,0.03,2.0
624,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",1S/C12H2Cl6O2/c13-3-1-5-6(2-4(3)14)20-12-10(18)8(16)7(15)9(17)11(12)19-5/h1-2H,Ref,0.026,0.003,0.023,0.028999999999999998,0.0015,ug,kg,M,dry,0.003,2.0
625,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2,3,6,7,8-Hexachlorodibenzofuran",1S/C12H2Cl6O/c13-4-1-3-7-6(2-5(14)8(15)10(7)17)19-12(3)11(18)9(4)16/h1-2H,Ref,0.09,0.01,0.08,0.09999999999999999,0.005,ug,kg,M,dry,0.01,2.0
626,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",1S/C12H2Cl6O2/c13-3-1-5-11(9(17)7(3)15)20-6-2-4(14)8(16)10(18)12(6)19-5/h1-2H,Ref,0.056,0.006,0.05,0.062,0.003,ug,kg,M,dry,0.006,2.0
627,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",1S/C12H2Cl6O2/c13-3-1-5-11(9(17)7(3)15)20-12-6(19-5)2-4(14)8(16)10(12)18/h1-2H,Ref,0.053,0.007,0.046,0.06,0.0035,ug,kg,M,dry,0.007,2.0
628,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2,3,7,8-Pentachlorodibenzofuran",1S/C12H3Cl5O/c13-5-1-4-8(2-6(5)14)18-9-3-7(15)11(16)12(17)10(4)9/h1-3H,Ref,0.045,0.007,0.038,0.052,0.0035,ug,kg,M,dry,0.007,2.0
629,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",1S/C12H3Cl5O2/c13-4-1-7-8(2-5(4)14)19-12-9(18-7)3-6(15)10(16)11(12)17/h1-3H,Ref,0.019,0.002,0.017,0.020999999999999998,0.001,ug,kg,M,dry,0.002,2.0
630,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,2-Dimethylphenanthrene","1S/C16H14/c1-11-7-9-16-14(12(11)2)10-8-13-5-3-4-6-15(13)16/h3-10H,1-2H3",Ref,0.28,0.01,0.27,0.29000000000000004,0.005,mg,kg,M,dry,0.01,2.0
631,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,6-Dimethylphenanthrene+2,9-Dimethylphenanthrene+2,5-Dimethylphenanthrene",,Ref,1.67,0.03,1.64,1.7,0.015,mg,kg,M,dry,0.03,2.0
632,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,7-Dimethylphenanthrene","1S/C16H14/c1-11-6-8-15-13(10-11)7-9-14-12(2)4-3-5-16(14)15/h3-10H,1-2H3",Ref,0.62,0.02,0.6,0.64,0.01,mg,kg,M,dry,0.02,2.0
633,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,8-Dimethylphenanthrene","1S/C16H14/c1-11-5-3-7-15-13(11)9-10-14-12(2)6-4-8-16(14)15/h3-10H,1-2H3",Ref,0.24,0.01,0.22999999999999998,0.25,0.005,mg,kg,M,dry,0.01,2.0
634,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"1,9-Dimethylphenanthrene+4,9-Dimethylphenanthrene",,Ref,1.2,0.03,1.17,1.23,0.015,mg,kg,M,dry,0.03,2.0
635,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,1-Methylfluoranthene,,Ref,0.39,0.01,0.38,0.4,0.005,mg,kg,M,dry,0.01,2.0
636,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,1-Methylnaphthalene,"1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3",Ref,0.47,0.02,0.44999999999999996,0.49,0.01,mg,kg,M,dry,0.02,2.0
637,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,1-Methylphenanthrene,"1S/C15H12/c1-11-5-4-8-15-13(11)10-9-12-6-2-3-7-14(12)15/h2-10H,1H3",Ref,1.7,0.1,1.5999999999999999,1.8,0.05,mg,kg,M,dry,0.1,2.0
638,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,1-Methylpyrene,"1S/C17H12/c1-11-5-6-14-8-7-12-3-2-4-13-9-10-15(11)17(14)16(12)13/h2-10H,1H3",Ref,1.29,0.03,1.26,1.32,0.015,mg,kg,M,dry,0.03,2.0
639,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"2,3,4,6,7,8-Hexachlorodibenzofuran",1S/C12H2Cl6O/c13-5-1-3-4-2-6(14)8(16)10(18)12(4)19-11(3)9(17)7(5)15/h1-2H,Ref,0.054,0.006,0.048,0.06,0.003,ug,kg,M,dry,0.006,2.0
640,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"2,3,4,7,8-Pentachlorodibenzofuran",1S/C12H3Cl5O/c13-6-1-4-5-2-8(15)10(16)11(17)12(5)18-9(4)3-7(6)14/h1-3H,Ref,0.045,0.004,0.040999999999999995,0.049,0.002,ug,kg,M,dry,0.004,2.0
641,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"2,3,7,8-Tetrachlorodibenzofuran",1S/C12H4Cl4O/c13-7-1-5-6-2-8(14)10(16)4-12(6)17-11(5)3-9(7)15/h1-4H,Ref,0.039,0.015,0.024,0.054,0.0075,ug,kg,M,dry,0.015,2.0
642,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1S/C12H4Cl4O2/c13-5-1-9-10(2-6(5)14)18-12-4-8(16)7(15)3-11(12)17-9/h1-4H,Ref,0.133,0.009,0.12400000000000001,0.14200000000000002,0.0045,ug,kg,M,dry,0.009,2.0
643,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"2,4'-DDD","1S/C14H10Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8,13-14H",Ref,38.0,8.0,30.0,46.0,4.0,ug,kg,M,dry,8.0,2.0
644,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"2,4'-DDE",1S/C14H8Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8H,Ref,19.0,3.0,16.0,22.0,1.5,ug,kg,M,dry,3.0,2.0
645,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"2,6-Dimethylphenanthrene","1S/C16H14/c1-11-4-8-15-14(9-11)7-6-13-5-3-12(2)10-16(13)15/h3-10H,1-2H3",Ref,0.79,0.02,0.77,0.81,0.01,mg,kg,M,dry,0.02,2.0
646,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"2,7-Dimethylphenanthrene","1S/C16H14/c1-11-3-7-15-13(9-11)5-6-14-10-12(2)4-8-16(14)15/h3-10H,1-2H3",Ref,0.67,0.02,0.65,0.6900000000000001,0.01,mg,kg,M,dry,0.02,2.0
647,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,2-Methylanthracene,"1S/C15H12/c1-11-6-7-14-9-12-4-2-3-5-13(12)10-15(14)8-11/h2-10H,1H3",Ref,0.58,0.04,0.5399999999999999,0.62,0.02,mg,kg,M,dry,0.04,2.0
648,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,2-Methylnaphthalene,"1S/C11H10/c1-9-6-7-10-4-2-3-5-11(10)8-9/h2-8H,1H3",Ref,0.74,0.06,0.6799999999999999,0.8,0.03,mg,kg,M,dry,0.06,2.0
649,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,2-Methylphenanthrene,"1S/C15H12/c1-11-6-9-15-13(10-11)8-7-12-4-2-3-5-14(12)15/h2-10H,1H3",Ref,1.9,0.06,1.8399999999999999,1.96,0.03,mg,kg,M,dry,0.06,2.0
650,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,2-Methylpyrene,"1S/C17H12/c1-11-9-14-7-5-12-3-2-4-13-6-8-15(10-11)17(14)16(12)13/h2-10H,1H3",Ref,1.81,0.04,1.77,1.85,0.02,mg,kg,M,dry,0.04,2.0
651,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"3,5-Dimethylphenanthrene","1S/C16H14/c1-11-6-7-13-8-9-14-5-3-4-12(2)16(14)15(13)10-11/h3-10H,1-2H3",Ref,1.31,0.04,1.27,1.35,0.02,mg,kg,M,dry,0.04,2.0
652,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"3,9-Dimethylphenanthrene","1S/C16H14/c1-11-7-8-13-10-12(2)14-5-3-4-6-15(14)16(13)9-11/h3-10H,1-2H3",Ref,2.42,0.05,2.37,2.4699999999999998,0.025,mg,kg,M,dry,0.05,2.0
653,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,3-Methylfluoranthene,,Ref,0.56,0.02,0.54,0.5800000000000001,0.01,mg,kg,M,dry,0.02,2.0
654,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,3-Methylphenanthrene,"1S/C15H12/c1-11-6-7-13-9-8-12-4-2-3-5-14(12)15(13)10-11/h2-10H,1H3",Ref,2.1,0.1,2.0,2.2,0.05,mg,kg,M,dry,0.1,2.0
655,,SRM 1944,New York/New Jersey Waterway Sediment,2011-09-27,"4,4'-DDD","1S/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H",Ref,108.0,16.0,92.0,124.0,8.0,ug,kg,M,dry,16.0,2.0
